popularity,vote_average,vote_count,runtime,release_year,is_drama,is_comedy,is_thriller,is_action,is_romance,is_horror,is_adventure,is_crime,cluster_id
0.045460581128221,0.6103896103896105,0.0284923644562877,0.1033333333333333,1.0,0,1,0,0,0,1,0,0,2
0.0453240977347212,0.5714285714285716,0.0736906836117659,0.1044444444444444,1.0,0,0,1,0,0,1,0,0,0
0.0449643660716229,0.6233766233766234,0.0858870554473711,0.1355555555555555,1.0,1,0,0,0,0,0,0,1,3
0.0439283413071932,0.5064935064935066,0.0228553858768063,0.1033333333333333,1.0,0,0,1,1,0,0,0,1,1
0.0438959030062059,0.5714285714285716,0.0340268525161422,0.1088888888888888,1.0,0,1,0,0,0,1,0,0,2
0.0437565698928062,0.5454545454545456,0.0319770421236035,0.1255555555555555,1.0,1,0,1,0,0,0,0,0,0
0.0428162835905427,0.6753246753246755,0.0521676744901096,0.1144444444444444,1.0,0,0,1,1,0,0,0,0,1
0.0426847114164447,0.7532467532467533,0.0448908475965973,0.1144444444444444,1.0,1,1,0,0,0,0,0,1,3
0.0420844815835032,0.5714285714285716,0.0702060059444501,0.1066666666666666,1.0,0,1,0,1,0,0,0,0,2
0.04207784234246,0.7532467532467533,0.0273649687403915,0.1333333333333333,1.0,1,0,0,0,0,0,0,0,3
0.0418440440459983,0.3896103896103897,0.0012298862355232,0.1166666666666666,1.0,0,0,0,1,0,0,1,0,1
0.0417314194776172,0.5714285714285716,0.0398688121348775,0.1311111111111111,1.0,0,1,0,0,0,0,0,0,2
0.0412560922615613,0.6233766233766234,0.0642615558060879,0.1177777777777777,1.0,0,0,1,0,0,0,0,0,0
0.0412530909608158,0.5584415584415585,0.0193707082094906,0.0944444444444444,1.0,0,1,0,0,0,0,0,0,2
0.041101358534235,0.4935064935064935,0.040688736291893,0.1066666666666666,1.0,0,0,1,1,0,0,0,1,1
0.0408030474298285,0.6363636363636365,0.08291483037819,0.1322222222222222,1.0,1,0,1,0,0,1,0,0,0
0.0407077637101994,0.4675324675324675,0.0162959926206825,0.1,1.0,0,0,1,1,0,0,0,0,1
0.0405756458450568,0.6233766233766234,0.0503228451368248,0.1277777777777777,1.0,1,1,0,0,0,0,0,0,3
0.0405708255741624,0.4545454545454546,0.0263400635441221,0.0977777777777777,1.0,0,0,1,0,0,1,0,0,0
0.0403095001961153,0.6623376623376624,0.0224454237982986,0.0933333333333333,1.0,0,0,1,0,1,0,0,0,0
0.0399013536108891,0.7402597402597404,0.0269550066618837,0.1377777777777777,1.0,1,0,0,0,0,0,0,0,3
0.0398718559783091,0.6103896103896105,0.0196781797683714,0.1233333333333333,1.0,1,0,0,0,0,0,0,1,3
0.0392010804197625,0.6363636363636365,0.012503843394486,0.0933333333333333,1.0,0,1,0,0,0,0,0,0,2
0.0391365979279868,0.5454545454545456,0.0536025417648867,0.1033333333333333,1.0,0,0,0,0,0,0,0,0,2
0.0389403916812674,0.5844155844155845,0.0352567387516654,0.1111111111111111,1.0,1,0,0,0,0,0,0,1,3
0.0387702270238453,0.7142857142857144,0.0209080660038946,0.1233333333333333,1.0,1,0,0,0,0,0,1,0,3
0.038001772768307,0.7012987012987015,0.0338218714768883,0.0944444444444444,1.0,0,1,0,0,0,0,1,0,2
0.0379442023630968,0.6233766233766234,0.0033821871476888,0.1211111111111111,1.0,1,0,0,0,0,0,0,0,3
0.0377484508589146,0.6233766233766234,0.0094291278056779,0.1177777777777777,1.0,1,1,0,0,0,0,0,0,3
0.0371451894090584,0.5324675324675325,0.0279799118581531,0.1277777777777777,1.0,1,0,0,1,0,0,0,1,1
0.0361087705344298,0.5324675324675325,0.0648764989238495,0.0911111111111111,1.0,0,0,1,0,0,1,0,0,0
0.0357356694407376,0.5194805194805197,0.0473506200676437,0.0966666666666666,1.0,0,1,0,1,0,0,0,1,1
0.0353079992425808,0.6233766233766234,0.0614943117761607,0.1077777777777777,1.0,1,0,1,0,0,1,0,0,0
0.0352197185580247,0.5194805194805197,0.0175258788562058,0.1077777777777777,1.0,1,0,1,0,0,0,0,0,0
0.034704222417849,0.3896103896103897,0.0050220354617197,0.1077777777777777,1.0,0,0,0,1,0,0,1,0,1
0.0346347983905024,0.5714285714285716,0.0128113149533668,0.1155555555555555,1.0,1,1,0,0,0,0,0,0,3
0.0345098048251093,0.5194805194805197,0.0407912268115199,0.1211111111111111,1.0,1,0,1,0,0,0,0,0,0
0.0341971238565271,0.7792207792207793,0.0001024905196269,0.1088888888888888,1.0,1,0,0,0,0,0,1,0,3
0.0341109653038113,0.6753246753246755,0.0255201393871066,0.1,1.0,1,1,0,0,1,0,0,0,3
0.0325378592867733,0.6233766233766234,0.0215230091216562,0.1466666666666666,1.0,1,0,0,0,0,1,1,0,3
0.0323116703487675,0.4805194805194806,0.0307471558880803,0.1177777777777777,1.0,0,0,1,0,0,1,0,0,0
0.032225784641574,0.6623376623376624,0.0141436917085169,0.1266666666666666,1.0,1,0,0,0,0,0,0,0,3
0.03172444615239,0.7272727272727273,0.0096341088449318,0.12,1.0,1,0,0,0,0,0,0,0,3
0.0315851130389904,0.5584415584415585,0.0092241467664241,0.1066666666666666,1.0,0,0,1,1,0,0,0,0,1
0.0314780363295632,0.6883116883116884,0.0180383314543404,0.1133333333333333,1.0,1,0,0,0,1,0,0,0,3
0.0314305915248481,0.4935064935064935,0.0106590140412011,0.1044444444444444,1.0,0,0,1,0,0,1,0,0,0
0.0311515311878499,0.5844155844155845,0.0369990775853233,0.1122222222222222,1.0,0,1,1,0,0,1,0,1,0
0.0309642075786906,0.6233766233766234,0.0232653479553141,0.1277777777777777,1.0,0,0,0,1,0,0,1,0,1
0.0305710978133614,0.5454545454545456,0.0206005944450138,0.1388888888888889,1.0,0,0,0,0,1,1,0,0,0
0.0305280488531726,0.5974025974025974,0.0316695705647227,0.1055555555555555,1.0,1,0,0,0,0,0,0,0,3
0.029505241938491,0.5844155844155845,0.0020498103925386,0.1422222222222222,1.0,1,0,0,0,0,0,0,0,3
0.0289831975057796,0.5194805194805197,0.0145536537870247,0.1111111111111111,1.0,1,1,0,0,0,0,0,0,3
0.0289089532075386,0.7402597402597404,0.0132212770318745,0.1244444444444444,1.0,1,1,0,0,1,0,0,0,3
0.0288907331898812,0.8051948051948055,0.0488879778620477,0.0344444444444444,1.0,0,1,0,1,0,0,0,0,2
0.028822430860793,0.5324675324675325,0.0114789381982166,0.1111111111111111,1.0,1,0,1,0,0,0,0,0,0
0.0284476926939669,0.5584415584415585,0.0060469406579891,0.1333333333333333,1.0,1,0,1,0,0,0,0,1,0
0.0284230759646195,0.5714285714285716,0.0261350825048683,0.1077777777777777,1.0,1,1,0,0,0,0,0,0,3
0.0281113954296192,0.5714285714285716,0.0667213282771343,0.1111111111111111,1.0,0,1,0,0,0,0,0,0,2
